"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-17","0.00","0.0","0.0","52","60","33"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-18","0.00","0.0","0.0","37","46","27"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-19","0.02","0.0","0.0","44","50","40"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-20","0.03","0.0","0.0","43","48","39"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-21","0.00","0.0","0.0","47","63","34"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-22","0.00","0.0","0.0","44","52","36"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-23","0.03","0.0","0.0","36","41","30"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-24","0.04","0.0","0.0","33","44","26"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-25","0.63","0.0","0.0","47","54","42"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-26","0.50","0.0","0.0","42","45","34"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-27","0.00","0.0","0.0","33","35","21"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-28","0.00","0.0","0.0","27","40","17"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-29","0.06","0.0","0.0","35","51","24"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-30","0.00","0.0","0.0","48","61","36"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-03-31","0.00","0.0","0.0","54","63","44"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-01","0.00","0.0","0.0","51","69","37"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-02","0.29","0.0","0.0","59","72","52"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-03","0.11","0.0","0.0","56","61","39"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-04","0.00","0.0","0.0","42","55","30"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-05","0.00","0.0","0.0","49","64","34"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-06","0.00","0.0","0.0","55","62","47"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-07","0.32","0.0","0.0","60","66","56"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-08","0.74","0.0","0.0","61","72","55"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-09","0.24","0.0","0.0","67","80","61"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-10","0.04","0.0","0.0","60","69","42"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-11","0.00","0.0","0.0","49","62","38"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-12","0.00","0.0","0.0","56","70","43"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-13","0.04","0.0","0.0","63","71","56"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-14","0.00","0.0","0.0","58","64","51"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-15","0.07","0.0","0.0","56","69","46"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-16","0.20","0.0","0.0","59","68","53"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-17","0.00","0.0","0.0","61","76","46"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-18","0.00","0.0","0.0","65","76","51"
