soccode,soctitle,freq,socagg
29-1061,Anesthesiologists,301,Physicians and surgeons
29-1062,Family and general practitioners,30696,Physicians and surgeons
29-1063,"Internists, general",4,Physicians and surgeons
29-1064,Obstetricians and gynecologists,34,Physicians and surgeons
29-1065,"Pediatricians, general",722,Physicians and surgeons
29-1066,Psychiatrists,1043,Physicians and surgeons
29-1067,Surgeons,726,Physicians and surgeons
29-1069,"Physicians and surgeons, all other",1504,Physicians and surgeons
29-1071,Physician assistants,468,
29-1081,Podiatrists,179,
29-1122,Occupational therapists,2126,Physical and occupational therapists
29-1123,Physical therapists,3161,Physical and occupational therapists
29-1124,Radiation therapists,197,
29-1125,Recreational therapists,127,
29-1126,Respiratory therapists,1034,
29-1127,Speech-language pathologists,2712,
29-1128,Exercise physiologists,59,
29-1129,"Therapists, all other",463,
29-1131,Veterinarians,2567,Veterinarians
29-1141,Registered nurses,40086,Nurses
29-1151,Nurse anesthetists,769,Nurses
29-1161,Nurse midwives,240,Nurses
29-1171,Nurse practitioners,4542,Nurses
29-1181,Audiologists,368,
29-1199,"Health diagnosing and treating practitioners, all other",1714,
29-2011,Medical and clinical laboratory technologists,1345,
29-2012,Medical and clinical laboratory technicians,728,
29-2021,Dental hygienists,1020,Dental hygienists
29-2031,Cardiovascular technologists and technicians,242,
29-2032,Diagnostic medical sonographers,658,
29-2033,Nuclear medicine technologists,17,
29-2034,Radiologic technologists,792,
29-2035,Magnetic resonance imaging technologists,123,
29-2041,Emergency medical technicians and paramedics,1398,Emergency medical technicians and paramedics
29-2051,Dietetic technicians,151,
29-2052,Pharmacy technicians,2319,Pharmacy technicians
29-2053,Psychiatric technicians,265,
29-2054,Respiratory therapy technicians,6,
29-2055,Surgical technologists,375,
29-2056,Veterinary technologists and technicians,716,
29-2057,Ophthalmic medical technicians,129,
29-2061,Licensed practical and licensed vocational nurses,945,Nurses
29-2071,Medical records and health information technicians,2038,
29-2081,"Opticians, dispensing",604,
29-2091,Orthotists and prosthetists,113,
29-2092,Hearing aid specialists,77,
29-2099,"Health technologists and technicians, all other",1546,
29-9011,Occupational health and safety specialists,356,
29-9012,Occupational health and safety technicians,21,
29-9091,Athletic trainers,170,
29-9092,Genetic counselors,129,
29-9099,"Healthcare practitioners and technical workers, all other",363,
31-1011,Home health aides,4015,
31-1013,Psychiatric aides,25,
31-1014,Nursing assistants,1847,
31-1015,Orderlies,33,
31-2011,Occupational therapy assistants,163,
31-2012,Occupational therapy aides,126,
31-2021,Physical therapist assistants,610,
31-2022,Physical therapist aides,41,
31-9011,Massage therapists,4489,Massage therapists
31-9091,Dental assistants,583,
31-9092,Medical assistants,1500,
31-9093,Medical equipment preparers,130,
31-9094,Medical transcriptionists,502,
31-9095,Pharmacy aides,59,
31-9096,Veterinary assistants and laboratory animal caretakers,147,Vet assistants
31-9097,Phlebotomists,412,
31-9099,"Healthcare support workers, all other",89,
33-1011,First-line supervisors of correctional officers,33,
33-1012,First-line supervisors of police and detectives,111,Police officers
33-1021,First-line supervisors of fire fighting and prevention workers,110,Firefighters
33-1099,"First-line supervisors of protective service workers, all other",1,
33-2011,Firefighters,1898,Firefighters
33-2021,Fire inspectors and investigators,65,
33-2022,Forest fire inspectors and prevention specialists,13,
33-3011,Bailiffs,63,
33-3012,Correctional officers and jailers,375,
33-3021,Detectives and criminal investigators,1155,Police officers
33-3031,Fish and game wardens,32,
33-3041,Parking enforcement workers,17,
33-3051,Police and sheriff's patrol officers,1758,Police officers
33-3052,Transit and railroad police,3,
33-9011,Animal control workers,62,
33-9021,Private detectives and investigators,190,
33-9031,Gaming surveillance officers and gaming investigators,24,
33-9032,Security guards,1747,Security guards
33-9091,Crossing guards,132,
33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",829,
33-9093,Transportation security screeners,136,
33-9099,"Protective service workers, all other",66,
35-1011,Chefs and head cooks,3782,Cooks
35-1012,First-line supervisors of food preparation and serving workers,1049,Fast food workers
35-2011,"Cooks, fast food",289,Fast food workers
35-2012,"Cooks, institution and cafeteria",199,Cooks
35-2013,"Cooks, private household",163,Cooks
35-2014,"Cooks, restaurant",4741,Cooks
35-2015,"Cooks, short order",98,
35-2021,Food preparation workers,1190,Kitchen helpers
35-3011,Bartenders,6439,Bartenders
35-3021,"Combined food preparation and serving workers, including fast food",1841,Fast food workers
35-3022,"Counter attendants, cafeteria, food concession, and coffee shop",5508,Baristas and cafeteria workers
35-3031,Waiters and waitresses,15842,Waiters and waitresses
35-3041,"Food servers, nonrestaurant",35,
35-9011,Dining room and cafeteria attendants and bartender helpers,835,
35-9021,Dishwashers,817,Kitchen helpers
35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",1397,Waiters and waitresses
35-9099,"Food preparation and serving related workers, all other",5,
37-1011,First-line supervisors of housekeeping and janitorial workers,117,"Janitors, maids, and cleaners"
37-1012,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",129,Landscaping and lawn care workers
37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",2450,"Janitors, maids, and cleaners"
37-2012,Maids and housekeeping cleaners,2581,"Janitors, maids, and cleaners"
37-2019,"Building cleaning workers, all other",22,
37-2021,Pest control workers,109,
37-3011,Landscaping and groundskeeping workers,2036,Landscaping and lawn care workers
37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",29,
37-3013,Tree trimmers and pruners,27,
37-3019,"Grounds maintenance workers, all other",1,
39-1011,Gaming supervisors,54,
39-1012,Slot supervisors,8,
39-1021,First-line supervisors of personal service workers,301,
39-2011,Animal trainers,747,
39-2021,Nonfarm animal caretakers,3035,
39-3011,Gaming dealers,351,
39-3019,"Gaming service workers, all other",4,
39-3021,Motion picture projectionists,66,
39-3031,"Ushers, lobby attendants, and ticket takers",469,
39-3091,Amusement and recreation attendants,2201,
39-3092,Costume attendants,218,
39-3093,"Locker room, coatroom, and dressing room attendants",12,
39-4011,Embalmers,32,
39-4021,Funeral attendants,39,
39-4031,"Morticians, undertakers, and funeral directors",278,Funeral directors
39-5011,Barbers,465,
39-5012,"Hairdressers, hairstylists, and cosmetologists",4757,"Hairdressers, hairstylists, and cosmetologists"
39-5091,"Makeup artists, theatrical and performance",342,
39-5092,Manicurists and pedicurists,129,
39-5093,Shampooers,23,
39-5094,Skincare specialists,875,
39-6011,Baggage porters and bellhops,509,
39-6012,Concierges,435,
39-7011,Tour guides and escorts,1005,
39-7012,Travel guides,236,
39-9011,Childcare workers,3642,Childcare workers
39-9021,Personal care aides,3288,
39-9031,Fitness trainers and aerobics instructors,3941,
39-9032,Recreation workers,584,
39-9041,Residential advisors,668,
39-9099,"Personal care and service workers, all other",785,
41-1011,First-line supervisors of retail sales workers,5700,Retail workers
41-1012,First-line supervisors of non-retail sales workers,1133,Sales workers
41-2011,Cashiers,7558,Cashiers
41-2012,Gaming change persons and booth cashiers,22,
41-2021,Counter and rental clerks,210,
41-2022,Parts salespersons,95,
41-2031,Retail salespersons,14267,Retail workers
41-3011,Advertising sales agents,943,Advertising and promotions workers
41-3021,Insurance sales agents,4305,Insurance sales agents
41-3031,"Securities, commodities, and financial services sales agents",4810,
41-3041,Travel agents,1224,
41-3099,"Sales representatives, services, all other",124,
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",280,Sales workers
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",4145,Sales workers
41-9011,Demonstrators and product promoters,418,Advertising and promotions workers
41-9012,Models,206,
41-9021,Real estate brokers,1941,Real estate agents and brokers
41-9022,Real estate sales agents,11365,Real estate agents and brokers
41-9031,Sales engineers,982,Sales workers
41-9041,Telemarketers,86,Sales workers
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",234,Sales workers
41-9099,"Sales and related workers, all other",33196,Sales workers
43-1011,First-line supervisors of office and administrative support workers,8294,Secretaries and administrative assistants
43-2011,"Switchboard operators, including answering service",76,
43-2021,Telephone operators,34,
43-2099,"Communications equipment operators, all other",1,
43-3011,Bill and account collectors,192,
43-3021,Billing and posting clerks,806,
43-3031,"Bookkeeping, accounting, and auditing clerks",4761,
43-3041,Gaming cage workers,27,
43-3051,Payroll and timekeeping clerks,359,
43-3061,Procurement clerks,249,
43-3071,Tellers,1186,
43-3099,"Financial clerks, all other",2,
43-4011,Brokerage clerks,166,
43-4021,Correspondence clerks,71,
43-4031,"Court, municipal, and license clerks",508,
43-4041,"Credit authorizers, checkers, and clerks",30,
43-4051,Customer service representatives,11318,Customer service representatives
43-4061,"Eligibility interviewers, government programs",232,
43-4071,File clerks,405,
43-4081,"Hotel, motel, and resort desk clerks",967,
43-4111,"Interviewers, except eligibility and loan",397,
43-4121,"Library assistants, clerical",1506,
43-4131,Loan interviewers and clerks,408,
43-4141,New accounts clerks,13,
43-4151,Order clerks,159,
43-4161,"Human resources assistants, except payroll and timekeeping",143,Human resources workers
43-4171,Receptionists and information clerks,3634,Receptionists
43-4181,Reservation and transportation ticket agents and travel clerks,199,
43-4199,"Information and record clerks, all other",24,
43-5011,Cargo and freight agents,103,
43-5021,Couriers and messengers,788,
43-5031,"Police, fire, and ambulance dispatchers",1315,
43-5032,"Dispatchers, except police, fire, and ambulance",284,
43-5041,"Meter readers, utilities",71,
43-5051,Postal service clerks,4289,Postal service clerks
43-5052,Postal service mail carriers,2253,Postal service mail carriers
43-5053,"Postal service mail sorters, processors, and processing machine operators",175,Mail sorters and processors
43-5061,"Production, planning, and expediting clerks",325,
43-5071,"Shipping, receiving, and traffic clerks",725,
43-5081,Stock clerks and order fillers,4356,Stock clerks and order fillers
43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",23,
43-6011,Executive secretaries and executive administrative assistants,4110,Secretaries and administrative assistants
43-6012,Legal secretaries,1022,Secretaries and administrative assistants
43-6013,Medical secretaries,374,
43-6014,"Secretaries and administrative assistants, except legal, medical, and executive",10704,Secretaries and administrative assistants
43-9011,Computer operators,165,
43-9021,Data entry keyers,764,
43-9022,Word processors and typists,175,
43-9031,Desktop publishers,37,
43-9041,Insurance claims and policy processing clerks,346,
43-9051,"Mail clerks and mail machine operators, except postal service",147,
43-9061,"Office clerks, general",2317,
